date,vicage,vicsex,vicethnic,susno,susage,sussex,weapon,Status,latitude,longitude,ladnm
2013-07-25,50,M,Black or Black British,1,30,M,None,Solved,51.57298,0.01848,Redbridge
2013-07-26,32,M,White or White British,4,35,M,Knife,Solved,51.50861,-0.01508,Tower Hamlets
2013-07-28,47,M,Black or Black British,1,19,M,None,Solved,51.56347,-0.05861,Hackney
2013-07-29,28,F,Black or Black British,1,40,M,Knife,Solved,51.44762,-0.12317,Lambeth
2013-07-31,29,F,Black or Black British,1,38,M,Knife,Solved,51.58887,-0.03531,Waltham Forest
2013-08-04,27,F,Asian or Asian British,1,40,M,Knife,Solved,51.54367,0.04192,Newham
2013-08-05,33,M,White or White British,3,25,M,Knife,Solved,51.52766,0.06388,Newham
2013-08-06,21,M,Any Other Ethnic Appearance,3,19,M,Knife,Solved,51.51312,-0.30366,Ealing
2013-08-12,17,M,Asian or Asian British,8,19,M,Knife,Solved,51.51516,-0.01176,Tower Hamlets
2013-08-14,21,F,White or White British,1,22,M,Knife,Solved,51.4579,-0.00414,Lewisham
2013-08-20,2,F,Any Other Ethnic Appearance,1,19,F,None,Solved,51.5754,-0.09518,Haringey
2013-08-21,20,M,Black or Black British,1,17,M,Knife,Solved,51.54707,-0.03707,Hackney
2013-08-24,24,F,Black or Black British,3,22,M,Gun,Solved,51.54312,-0.19563,Camden
2013-08-26,23,M,Asian or Asian British,,,,Other,Unsolved,51.50952,-0.36653,Ealing
2013-08-29,8,F,Asian or Asian British,1,34,F,None,Solved,51.56907,0.13095,Barking and Dagenham
2013-09-01,17,M,White or White British,1,17,M,None,Solved,51.39443,0.04325,Bromley
2013-09-03,28,F,Asian or Asian British,1,33,M,None,Solved,51.56098,0.00019,Waltham Forest
2013-09-11,44,M,,1,42,M,Knife,Solved,51.58133,-0.09498,Haringey
2013-09-13,43,F,Asian or Asian British,1,64,M,Knife,Solved,51.5523,0.02182,Newham
2013-09-20,19,M,Black or Black British,2,23,M,Gun,Solved,51.46914,-0.1717,Wandsworth
